doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
107,,0.383,0.325,0.314,0.322,0.351,0.381,0.238,0.396,0.392,0.339,0.248,0.308,0.393,0.341,0.299,0.275,0.256,0.379,0.317,0.269,0.427,
108,,0.36,0.311,0.338,0.394,0.39,0.34,0.219,0.387,0.376,0.352,0.197,0.3,0.376,0.349,0.292,0.297,0.331,0.379,0.314,0.258,0.377,
109,,0.376,0.301,0.309,0.38,0.415,0.341,0.205,0.373,0.378,0.353,0.193,0.342,0.376,0.338,0.3,0.3,0.356,0.36,0.297,0.263,0.378,
110,,0.457,0.312,0.324,0.401,0.419,0.317,0.217,0.37,0.373,0.34,0.176,0.355,0.371,0.328,0.279,0.313,0.36,0.364,0.325,0.226,0.351,
111,,0.47,0.305,0.298,0.408,0.414,0.344,0.176,0.339,0.37,0.337,0.194,0.354,0.374,0.293,0.303,0.297,0.365,0.321,0.292,0.253,0.37,
112,,0.469,0.299,0.298,0.365,0.4,0.297,0.203,0.344,0.372,0.306,0.179,0.355,0.368,0.268,0.251,0.275,0.348,0.328,0.277,0.247,0.333,
113,,0.479,0.275,0.284,0.372,0.378,0.328,0.146,0.336,0.371,0.303,0.17,0.382,0.344,0.269,0.264,0.243,0.305,0.278,0.302,0.241,0.372,
114,,0.426,0.268,0.28,0.326,0.367,0.294,0.148,0.348,0.356,0.263,0.168,0.391,0.362,0.245,0.265,0.261,0.295,0.299,0.279,0.248,0.313,
115,,0.423,0.251,0.27,0.351,0.349,0.296,0.129,0.348,0.351,0.285,0.143,0.405,0.321,0.236,0.262,0.262,0.287,0.275,0.276,0.195,0.313,
116,,0.405,0.246,0.254,0.337,0.3,0.269,0.125,0.345,0.339,0.267,0.181,0.398,0.332,0.217,0.248,0.277,0.382,0.262,0.256,0.202,0.312,
117,,0.376,0.234,0.258,0.32,0.291,0.249,0.115,0.355,0.331,0.264,0.149,0.379,0.321,0.233,0.253,0.342,0.436,0.26,0.264,0.187,0.283,
118,,0.342,0.235,0.234,0.317,0.276,0.259,0.098,0.335,0.356,0.279,0.173,0.331,0.304,0.212,0.228,0.374,0.452,0.237,0.332,0.196,0.289,
119,,0.334,0.217,0.225,0.294,0.264,0.268,0.109,0.338,0.351,0.243,0.168,0.327,0.228,0.208,0.217,0.378,0.45,0.229,0.347,0.171,0.23,
120,,0.305,0.197,0.226,0.278,0.26,0.286,0.097,0.342,0.346,0.246,0.105,0.302,0.236,0.191,0.227,0.374,0.412,0.201,0.36,0.182,0.284,
121,,0.248,0.195,0.203,0.217,0.217,0.273,0.102,0.331,0.351,0.25,0.143,0.292,0.237,0.244,0.207,0.305,0.413,0.181,0.338,0.205,0.278,
122,,0.254,0.182,0.207,0.213,0.224,0.263,0.092,0.333,0.328,0.24,0.14,0.27,0.215,0.257,0.192,0.325,0.376,0.171,0.328,0.22,0.283,
123,,0.241,0.189,0.209,0.183,0.216,0.246,0.077,0.294,0.298,0.172,0.145,0.236,0.224,0.255,0.185,0.319,0.369,0.198,0.347,0.225,0.29,
124,,0.262,0.286,0.207,0.15,0.208,0.232,0.08,0.312,0.318,0.144,0.132,0.239,0.209,0.276,0.184,0.28,0.338,0.194,0.358,0.212,0.284,
125,,0.294,0.281,0.175,0.174,0.203,0.232,0.098,0.269,0.288,0.167,0.162,0.21,0.208,0.244,0.175,0.276,0.328,0.187,0.367,0.211,0.285,
126,,0.254,0.272,0.166,0.162,0.164,0.232,0.108,0.294,0.291,0.162,0.123,0.232,0.203,0.241,0.162,0.264,0.284,0.203,0.385,0.198,0.278,
127,,0.255,0.285,0.145,0.189,0.171,0.233,0.124,0.272,0.288,0.149,0.116,0.209,0.192,0.238,0.171,0.235,0.29,0.168,0.357,0.185,0.281,
