doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
133,,0.219,0.18,0.131,0.244,0.162,0.19,0.104,0.21,0.18,0.12,0.093,0.178,0.148,0.192,0.13,0.164,0.194,0.137,0.24,0.148,0.22,
134,,0.222,0.175,0.124,0.246,0.172,0.185,0.12,0.19,0.173,0.127,0.099,0.177,0.136,0.175,0.136,0.157,0.191,0.115,0.234,0.119,0.212,
135,,0.215,0.176,0.133,0.237,0.169,0.181,0.127,0.175,0.177,0.137,0.098,0.183,0.141,0.181,0.138,0.148,0.178,0.116,0.221,0.104,0.166,
136,,0.21,0.157,0.127,0.242,0.174,0.175,0.135,0.169,0.172,0.142,0.1,0.17,0.145,0.188,0.136,0.172,0.159,0.113,0.233,0.088,0.157,
137,,0.205,0.163,0.12,0.232,0.171,0.128,0.131,0.152,0.167,0.187,0.097,0.203,0.139,0.186,0.115,0.172,0.168,0.105,0.23,0.099,0.16,
138,,0.201,0.152,0.113,0.227,0.165,0.113,0.122,0.152,0.171,0.188,0.093,0.224,0.157,0.189,0.111,0.173,0.157,0.104,0.252,0.095,0.173,
139,,0.192,0.152,0.101,0.215,0.165,0.11,0.109,0.148,0.167,0.189,0.092,0.21,0.159,0.183,0.113,0.178,0.153,0.107,0.238,0.095,0.172,
140,,0.185,0.144,0.107,0.208,0.155,0.102,0.085,0.137,0.177,0.185,0.081,0.19,0.145,0.174,0.106,0.182,0.145,0.119,0.23,0.089,0.17,
141,,0.182,0.136,0.089,0.211,0.138,0.096,0.075,0.124,0.164,0.184,0.083,0.173,0.148,0.155,0.107,0.187,0.139,0.107,0.218,0.092,0.186,
142,,0.177,0.128,0.078,0.206,0.137,0.083,0.072,0.129,0.158,0.175,0.075,0.172,0.169,0.144,0.107,0.179,0.13,0.106,0.215,0.087,0.187,
143,,0.175,0.116,0.077,0.199,0.135,0.085,0.063,0.122,0.143,0.176,0.069,0.163,0.169,0.136,0.103,0.16,0.123,0.098,0.217,0.089,0.196,
144,,0.167,0.122,0.076,0.189,0.131,0.084,0.062,0.123,0.141,0.164,0.071,0.138,0.174,0.124,0.105,0.175,0.12,0.094,0.203,0.087,0.192,
145,,0.151,0.13,0.066,0.192,0.128,0.057,0.069,0.124,0.137,0.168,0.059,0.131,0.175,0.125,0.105,0.181,0.113,0.095,0.208,0.084,0.195,
146,,0.145,0.126,0.069,0.168,0.112,0.056,0.092,0.124,0.129,0.162,0.065,0.121,0.176,0.13,0.103,0.182,0.116,0.094,0.205,0.088,0.197,
147,,0.14,0.13,0.073,0.168,0.107,0.057,0.106,0.123,0.132,0.162,0.07,0.115,0.186,0.124,0.103,0.155,0.099,0.094,0.204,0.081,0.189,
148,,0.147,0.132,0.069,0.169,0.089,0.058,0.116,0.121,0.113,0.159,0.076,0.11,0.19,0.112,0.103,0.139,0.101,0.093,0.199,0.086,0.191,
