doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
133,,0.199,0.122,0.143,0.183,0.208,0.177,0.051,0.222,0.172,0.06,0.063,0.145,0.137,0.22,0.089,0.172,0.17,0.08,0.295,0.104,0.226,
134,,0.185,0.134,0.153,0.206,0.203,0.172,0.075,0.182,0.156,0.077,0.086,0.143,0.153,0.191,0.096,0.165,0.191,0.059,0.254,0.095,0.215,
135,,0.181,0.136,0.212,0.199,0.204,0.152,0.096,0.204,0.15,0.071,0.093,0.159,0.133,0.207,0.095,0.145,0.164,0.064,0.25,0.082,0.186,
136,,0.17,0.133,0.192,0.212,0.203,0.159,0.126,0.184,0.131,0.069,0.106,0.124,0.115,0.227,0.087,0.146,0.146,0.062,0.258,0.069,0.175,
137,,0.15,0.136,0.147,0.208,0.15,0.123,0.129,0.184,0.142,0.137,0.105,0.182,0.109,0.214,0.066,0.153,0.148,0.061,0.253,0.062,0.171,
138,,0.17,0.092,0.112,0.203,0.173,0.107,0.123,0.205,0.101,0.139,0.106,0.232,0.095,0.222,0.08,0.149,0.117,0.055,0.258,0.044,0.186,
139,,0.149,0.113,0.069,0.198,0.187,0.106,0.113,0.195,0.104,0.139,0.098,0.226,0.108,0.198,0.095,0.157,0.119,0.063,0.23,0.057,0.183,
140,,0.136,0.112,0.101,0.186,0.176,0.109,0.061,0.178,0.12,0.133,0.06,0.172,0.097,0.195,0.101,0.158,0.11,0.069,0.247,0.054,0.179,
141,,0.132,0.098,0.106,0.182,0.135,0.105,0.041,0.154,0.072,0.13,0.094,0.123,0.095,0.148,0.094,0.156,0.102,0.062,0.239,0.055,0.2,
142,,0.125,0.086,0.09,0.193,0.131,0.083,0.034,0.16,0.095,0.127,0.047,0.15,0.091,0.14,0.095,0.158,0.082,0.064,0.231,0.057,0.183,
143,,0.124,0.09,0.083,0.182,0.14,0.091,0.03,0.154,0.086,0.131,0.044,0.127,0.117,0.118,0.119,0.137,0.089,0.059,0.225,0.059,0.207,
144,,0.117,0.085,0.083,0.173,0.126,0.096,0.029,0.155,0.078,0.125,0.042,0.113,0.126,0.109,0.15,0.146,0.086,0.09,0.23,0.05,0.196,
145,,0.112,0.085,0.04,0.191,0.131,0.096,0.031,0.142,0.076,0.122,0.04,0.1,0.136,0.099,0.151,0.147,0.068,0.06,0.221,0.052,0.198,
146,,0.087,0.096,0.052,0.161,0.112,0.089,0.054,0.135,0.068,0.106,0.042,0.091,0.145,0.115,0.144,0.163,0.097,0.048,0.204,0.069,0.185,
147,,0.084,0.091,0.051,0.16,0.113,0.091,0.044,0.126,0.086,0.124,0.05,0.077,0.158,0.112,0.139,0.099,0.078,0.053,0.222,0.061,0.188,
148,,0.091,0.095,0.041,0.17,0.074,0.093,0.051,0.117,0.071,0.117,0.066,0.079,0.17,0.091,0.148,0.097,0.081,0.047,0.209,0.083,0.184,
149,,0.093,0.085,0.043,0.16,0.073,0.097,0.052,0.108,0.087,0.119,0.065,0.076,0.156,0.093,0.125,0.083,0.063,0.043,0.208,0.071,0.18,
